file,dt_ini,dt_fim,release
A_20230929.csv,2023-09-29,2023-11-01,https://github.com/abjur/tpur/releases/download/assuntos/A_20230929.csv
A_20230705.csv,2023-07-05,2023-09-28,https://github.com/abjur/tpur/releases/download/assuntos/A_20230705.csv
A_20230616.csv,2023-06-16,2023-07-04,https://github.com/abjur/tpur/releases/download/assuntos/A_20230616.csv
A_20230526.csv,2023-05-26,2023-06-15,https://github.com/abjur/tpur/releases/download/assuntos/A_20230526.csv
A_20230331.csv,2023-03-31,2023-05-25,https://github.com/abjur/tpur/releases/download/assuntos/A_20230331.csv
A_20230202.csv,2023-02-02,2023-03-30,https://github.com/abjur/tpur/releases/download/assuntos/A_20230202.csv
A_20221216.csv,2022-12-16,2023-02-01,https://github.com/abjur/tpur/releases/download/assuntos/A_20221216.csv
A_20221129.csv,2022-11-29,2022-12-15,https://github.com/abjur/tpur/releases/download/assuntos/A_20221129.csv
A_20220920.csv,2022-09-20,2022-11-28,https://github.com/abjur/tpur/releases/download/assuntos/A_20220920.csv
A_20220701.csv,2022-07-01,2022-09-19,https://github.com/abjur/tpur/releases/download/assuntos/A_20220701.csv
A_20220615.csv,2022-06-15,2022-06-30,https://github.com/abjur/tpur/releases/download/assuntos/A_20220615.csv
A_20220323.csv,2022-03-23,2022-06-14,https://github.com/abjur/tpur/releases/download/assuntos/A_20220323.csv
A_20211203.csv,2021-12-03,2022-03-22,https://github.com/abjur/tpur/releases/download/assuntos/A_20211203.csv
A_20211001.csv,2021-10-01,2021-12-02,https://github.com/abjur/tpur/releases/download/assuntos/A_20211001.csv
A_20210730.csv,2021-07-30,2021-09-30,https://github.com/abjur/tpur/releases/download/assuntos/A_20210730.csv
A_20210531.csv,2021-05-31,2021-07-29,https://github.com/abjur/tpur/releases/download/assuntos/A_20210531.csv
A_20210331.csv,2021-03-31,2021-05-30,https://github.com/abjur/tpur/releases/download/assuntos/A_20210331.csv
A_20210330.csv,2021-03-30,2021-03-30,https://github.com/abjur/tpur/releases/download/assuntos/A_20210330.csv
A_20210120.csv,2021-01-20,2021-03-29,https://github.com/abjur/tpur/releases/download/assuntos/A_20210120.csv
A_20201204.csv,2020-12-04,2021-01-19,https://github.com/abjur/tpur/releases/download/assuntos/A_20201204.csv
A_20201124.csv,2020-11-24,2020-12-03,https://github.com/abjur/tpur/releases/download/assuntos/A_20201124.csv
A_20200917.csv,2020-09-17,2020-11-23,https://github.com/abjur/tpur/releases/download/assuntos/A_20200917.csv
A_20200814.csv,2020-08-14,2020-09-16,https://github.com/abjur/tpur/releases/download/assuntos/A_20200814.csv
A_20200811.csv,2020-08-11,2020-08-13,https://github.com/abjur/tpur/releases/download/assuntos/A_20200811.csv
A_20200810.csv,2020-08-10,2020-08-10,https://github.com/abjur/tpur/releases/download/assuntos/A_20200810.csv
A_20200623.csv,2020-06-23,2020-08-09,https://github.com/abjur/tpur/releases/download/assuntos/A_20200623.csv
A_20200525.csv,2020-05-25,2020-06-22,https://github.com/abjur/tpur/releases/download/assuntos/A_20200525.csv
A_20200321.csv,2020-03-21,2020-05-24,https://github.com/abjur/tpur/releases/download/assuntos/A_20200321.csv
A_20200318.csv,2020-03-18,2020-03-20,https://github.com/abjur/tpur/releases/download/assuntos/A_20200318.csv
A_20190919.csv,2019-09-19,2020-03-17,https://github.com/abjur/tpur/releases/download/assuntos/A_20190919.csv
A_20190917.csv,2019-09-17,2019-09-18,https://github.com/abjur/tpur/releases/download/assuntos/A_20190917.csv
A_20190821.csv,2019-08-21,2019-09-16,https://github.com/abjur/tpur/releases/download/assuntos/A_20190821.csv
A_20190306.csv,2019-03-06,2019-08-20,https://github.com/abjur/tpur/releases/download/assuntos/A_20190306.csv
A_20190115.csv,2019-01-15,2019-03-05,https://github.com/abjur/tpur/releases/download/assuntos/A_20190115.csv
A_20181219.csv,2018-12-19,2019-01-14,https://github.com/abjur/tpur/releases/download/assuntos/A_20181219.csv
A_20180906.csv,2018-09-06,2018-12-18,https://github.com/abjur/tpur/releases/download/assuntos/A_20180906.csv
A_20180628.csv,2018-06-28,2018-09-05,https://github.com/abjur/tpur/releases/download/assuntos/A_20180628.csv
A_20180309.csv,2018-03-09,2018-06-27,https://github.com/abjur/tpur/releases/download/assuntos/A_20180309.csv
A_20171127.csv,2017-11-27,2018-03-08,https://github.com/abjur/tpur/releases/download/assuntos/A_20171127.csv
A_20170710.csv,2017-07-10,2017-11-26,https://github.com/abjur/tpur/releases/download/assuntos/A_20170710.csv
A_20160906.csv,2016-09-06,2017-07-09,https://github.com/abjur/tpur/releases/download/assuntos/A_20160906.csv
A_20160809.csv,2016-08-09,2016-09-05,https://github.com/abjur/tpur/releases/download/assuntos/A_20160809.csv
A_20160503.csv,2016-05-03,2016-08-08,https://github.com/abjur/tpur/releases/download/assuntos/A_20160503.csv
A_20160315.csv,2016-03-15,2016-05-02,https://github.com/abjur/tpur/releases/download/assuntos/A_20160315.csv
A_20160314.csv,2016-03-14,2016-03-14,https://github.com/abjur/tpur/releases/download/assuntos/A_20160314.csv
A_20150929.csv,2015-09-29,2016-03-13,https://github.com/abjur/tpur/releases/download/assuntos/A_20150929.csv
A_20150824.csv,2015-08-24,2015-09-28,https://github.com/abjur/tpur/releases/download/assuntos/A_20150824.csv
A_20141003.csv,2014-10-03,2015-08-23,https://github.com/abjur/tpur/releases/download/assuntos/A_20141003.csv
